time,temperature_2m_mean,precipitation_sum,soil_moisture_0_7cm_mean,soil_temperature_0_7cm_mean,relative_humidity_2m_mean,sunshine_duration,cloud_cover_mean,precipitation_hours
1941-12-01,24.225806451612904,333.2,0.47419354838709676,25.870967741935484,86.58064516129032,1091466.96,85.19354838709677,308.0
1942-01-01,24.096774193548388,255.5,0.4746774193548387,25.793548387096774,85.58064516129032,1170171.1400000001,83.51612903225806,282.0
1942-02-01,23.410714285714285,341.6,0.49739285714285714,24.896428571428572,88.89285714285714,785937.76,95.64285714285714,374.0
1942-03-01,23.961290322580645,282.0,0.491,25.46451612903226,89.0,1015961.59,92.3225806451613,352.0
1942-04-01,23.696666666666665,314.8,0.4960333333333333,25.39,90.0,987013.43,90.86666666666666,332.0
1942-05-01,23.929032258064513,225.79999999999998,0.48948387096774193,25.46451612903226,89.74193548387096,1125392.49,85.0,285.0
1942-06-01,23.816666666666666,213.8,0.48979999999999996,25.223333333333336,89.63333333333334,1027571.86,81.36666666666666,320.0
1942-07-01,23.548387096774192,99.3,0.45338709677419353,24.932258064516127,86.29032258064517,1219664.17,62.61290322580645,255.0
1942-08-01,24.041935483870965,85.9,0.42909677419354836,25.296774193548387,82.80645161290323,1223967.6099999999,76.0,170.0
1942-09-01,24.03666666666667,253.1,0.45346666666666663,25.646666666666665,85.93333333333334,1110823.42,79.76666666666667,340.0
1942-10-01,23.951612903225808,302.0,0.48512903225806453,25.56451612903226,87.12903225806451,1131590.0,84.09677419354838,343.0
1942-11-01,24.153333333333332,92.6,0.4227666666666667,25.970000000000002,82.73333333333333,1244464.76,64.36666666666666,213.0
1942-12-01,24.23225806451613,147.5,0.41254838709677416,25.961290322580645,81.12903225806451,1293911.03,69.48387096774194,224.0
1943-01-01,23.719354838709677,107.2,0.4313225806451613,25.461290322580645,83.83870967741936,1281614.5,65.06451612903226,330.0
1943-02-01,23.417857142857144,238.5,0.4587142857142857,24.682142857142857,86.82142857142857,736742.54,96.07142857142857,446.0
1943-03-01,23.345161290322583,192.5,0.47938709677419356,24.89032258064516,86.96774193548387,1139284.81,81.0,317.0
1943-04-01,23.683333333333334,92.9,0.4169333333333333,25.396666666666665,84.93333333333334,1230516.57,55.46666666666667,220.0
1943-05-01,24.306451612903224,70.5,0.3849354838709677,25.787096774193547,82.3225806451613,1257196.67,50.41935483870968,214.0
1943-06-01,24.69,66.2,0.37703333333333333,26.18,80.7,1208862.66,59.13333333333333,192.0
1943-07-01,24.39032258064516,87.3,0.3869677419354839,25.85483870967742,78.06451612903226,1276819.43,47.225806451612904,184.0
1943-08-01,24.448387096774194,146.5,0.41603225806451616,26.0258064516129,80.0,1198009.43,61.903225806451616,297.0
1943-09-01,24.34333333333333,319.3,0.43846666666666667,26.203333333333333,81.46666666666667,1096758.3,77.66666666666667,327.0
1943-10-01,23.774193548387096,394.2,0.4732258064516129,25.361290322580647,87.03225806451613,1009163.27,83.93548387096774,361.0
1943-11-01,24.32,211.7,0.4653,26.08,86.63333333333334,1145307.59,84.1,294.0
1943-12-01,24.070967741935483,113.8,0.44993548387096777,25.81935483870968,84.80645161290323,1278163.1199999999,62.225806451612904,238.0
1944-01-01,23.66774193548387,321.1,0.48990322580645157,25.225806451612904,88.25806451612904,1073019.43,88.54838709677419,406.0
1944-02-01,23.055172413793105,319.8,0.49806896551724134,24.162068965517243,89.72413793103448,622338.39,97.55172413793103,483.0
1944-03-01,23.519354838709678,235.8,0.48174193548387095,24.967741935483872,87.70967741935483,1086142.63,87.70967741935483,321.0
1944-04-01,23.92,238.4,0.4892,25.35666666666667,88.33333333333333,1060363.06,87.36666666666666,329.0
